id,unit,name,start,end,agency,acres,cause
TGU-803,Mendocino NFMNF--154,Town,2000-03-31,4/5/2000,USFS,1500,escape control
MNF-177,Mendocino NF,Cabbage,2000-04-01,4/1/2000,USFS,1540,?
TGU-851,Mendocino NF MNF_178,Franklin,2000-04-02,4/3/2000,USFS,400,na
LMU-630,Lassen NF,PNF 151 (Robinson),2000-04-04,4/5/2000,USFS,500,na
BDU-4016,Mono County,Assist (Azusa),2000-05-29,6/1/2000,USFS,740,Campfire
TUU-4863,Tulare,Elephant,2000-06-01,6/1/2000,CDF,497,Control Burn
ANF-2059,Los Angeles,Dry,2000-06-06,6/6/2000,USFS,356,Under Invest.
VNC-14831,Ventura,Calabasas,2000-06-11,6/11/2000,CC,800,Under Invest.
LNU-3087,Napa,Berryessa,2000-06-13,6/16/2000,CDF,5731,Equip. Use
BTU-5945,Butte,Larkin,2000-06-13,6/13/2000,CDF,475,Under Invest.
TUU-5549,Tulare,Lindsay,2000-06-18,6/18/2000,CDF,400,Arson
VNC-16413,Ventura,Telegraph,2000-06-26,6/26/2000,CC,400,Equip. Use
VNC-16413,Ventura,Telegraph,2000-06-26,6/26/2000,CC,400,Equip. Use
TUU-5954,Tulare,Richgrove,2000-06-28,6/28/2000,CDF,450,Elec. Power
TUU-5954,Tulare,Richgrove,2000-06-28,6/28/2000,CDF,450,Elec. Power
MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,6/30/2000,CDF,2000,Under Invest.
MVU-4431,San Diego (exp002 in),Barrett,2000-06-29,6/30/2000,CDF,2000,Under Invest.
MMU-9447,Mariposa,Granite,2000-07-02,7/4/2000,CDF,2000,Shooter
MMU-9447,Mariposa,Granite,2000-07-02,7/4/2000,CDF,2000,Shooter
BDU-5166,San Bernardino,Citrus,2000-07-03,7/4/2000,CDF,600,Under Invest.
BDU-5166,San Bernardino,Citrus,2000-07-03,7/4/2000,CDF,600,Under Invest.
BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,7/8/2000,USFS,300,Under Invest.
BDU-5318,San Bernardino,Assist (Morgan),2000-07-07,7/8/2000,USFS,300,Under Invest.
TUU-6521,Tulare,Success,2000-07-09,7/9/2000,CDF,320,Arson
TUU-6521,Tulare,Success,2000-07-09,7/9/2000,CDF,320,Arson
LMU-1817,Lassen,Goat,2000-07-17,7/20/2000,CDF,1084,Campfire
LMU-1817,Lassen,Goat,2000-07-17,7/20/2000,CDF,1084,Campfire
SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,7/26/2000,USFS,1715,Under Invest.
SKU-2492,Siskiyou,Bark KNF Assist #12,2000-07-21,7/26/2000,USFS,1715,Under Invest.
BBD-1891,San Luis Obispo,Shell,2000-07-22,7/22/2000,USFS,6300,Under Invest.
BBD-1891,San Luis Obispo,Shell,2000-07-22,7/22/2000,USFS,6300,Under Invest.
MVU-5080,San Diego,Assist #18 Buckman,2000-07-22,7/22/2000,USFS,300,Under Invest.
MVU-5080,San Diego,Assist #18 Buckman,2000-07-22,7/22/2000,USFS,300,Under Invest.
BDU-5882,Inyo fire #168,Happy Camp,2000-07-23,7/28/2000,BLM,5500,Under Invest.
BDU-5882,Inyo fire #168,Happy Camp,2000-07-23,7/28/2000,BLM,5500,Under Invest.
SQF-1883,Tulare,Manter,2000-07-24,8/9/2000,USFS,74439,Under Invest.
SQF-1883,Tulare,Manter,2000-07-24,8/9/2000,USFS,74439,Under Invest.
LNU-4423,Lake-Napa,Morgan,2000-07-26,7/27/2000,CDF,3283,Undetermined
SKU-2574,Siskiyou,Corp. #13,2000-07-26,7/26/2000,CDF,813,Railroad
SCU-2756,Santa Clara,Patterson,2000-07-26,7/27/2000,CDF,432,Undetermined
SCU-2756,Santa Clara,Patterson,2000-07-26,7/27/2000,CDF,432,Undetermined
RRU-48329,Riverside,State (Pachenga),2000-07-29,8/9/2000,CDF,11900,Under Invest.
LMU-2018,Nevada (State),Arrowcreek,2000-08-01,8/1/2000,NEVADA,2900,na
BDU-6114,Mono County,Golden II,2000-08-01,8/8/2000,BLM,2150,Lightning
